vazao,data_day
0.4285714286,12/10/17
0.5714285714,12/10/17
0.8750000000,12/10/17
0.7500000000,12/10/17
1.0000000000,12/10/17
0.6250000000,12/10/17
1.0000000000,12/10/17
0.8181818182,12/10/17
0.7500000000,12/10/17
0.8571428571,11/10/17
0.8571428571,11/10/17
1.0000000000,11/10/17
0.8750000000,11/10/17
1.1428571429,11/10/17
1.3750000000,11/10/17
1.2857142857,11/10/17
1.3333333333,11/10/17
1.7727272727,11/10/17
1.7500000000,11/10/17
2.8571428571,11/10/17
2.3750000000,11/10/17
2.8571428571,11/10/17
3.0000000000,11/10/17
2.7500000000,11/10/17
3.8571428571,11/10/17
4.6250000000,11/10/17
5.6000000000,11/10/17
6.3750000000,11/10/17
10.4285714286,11/10/17
12.5000000000,11/10/17
16.1333333333,11/10/17
19.4285714286,11/10/17
18.1875000000,11/10/17
20.2000000000,11/10/17
16.0000000000,11/10/17
5.3750000000,11/10/17
0.4285714286,11/10/17
0.4000000000,11/10/17
0.3750000000,11/10/17
0.4285714286,11/10/17
0.3750000000,11/10/17
0.5714285714,11/10/17
0.5333333333,11/10/17
0.8571428571,11/10/17
0.5000000000,11/10/17
0.7142857143,11/10/17
0.6250000000,11/10/17
0.7142857143,11/10/17
0.6250000000,11/10/17
0.8000000000,11/10/17
0.8571428571,11/10/17
0.8750000000,11/10/17
0.8571428571,11/10/17
0.9333333333,11/10/17
0.7500000000,11/10/17
0.8571428571,11/10/17
1.0000000000,11/10/17
1.2500000000,11/10/17
1.2857142857,11/10/17
1.5000000000,11/10/17
1.4285714286,11/10/17
1.5000000000,11/10/17
2.2000000000,11/10/17
2.7142857143,11/10/17
3.4285714286,11/10/17
2.7500000000,11/10/17
4.2857142857,11/10/17
3.6250000000,11/10/17
5.0000000000,11/10/17
5.7500000000,11/10/17
7.3333333333,11/10/17
9.8571428571,11/10/17
10.6250000000,11/10/17
14.5714285714,11/10/17
14.7500000000,11/10/17
16.4285714286,11/10/17
16.2500000000,11/10/17
15.6250000000,11/10/17
18.5714285714,11/10/17
16.6250000000,11/10/17
21.8571428571,11/10/17
16.0000000000,11/10/17
14.8571428571,11/10/17
6.7500000000,11/10/17
0.8571428571,11/10/17
0.4545454545,11/10/17
0.5000000000,11/10/17
0.8571428571,11/10/17
0.6666666667,11/10/17
0.5000000000,11/10/17
0.5714285714,11/10/17
0.7500000000,11/10/17
0.8571428571,11/10/17
0.6250000000,11/10/17
0.7142857143,11/10/17
1.0000000000,11/10/17
0.6250000000,11/10/17
0.7500000000,11/10/17
1.0000000000,11/10/17
1.2857142857,11/10/17
0.8750000000,11/10/17
1.0000000000,11/10/17
1.2500000000,11/10/17
1.7142857143,11/10/17
1.2500000000,11/10/17
1.8571428571,11/10/17
1.9333333333,11/10/17
2.3750000000,11/10/17
3.4285714286,11/10/17
3.3750000000,11/10/17
4.7142857143,11/10/17
4.2500000000,11/10/17
5.8571428571,11/10/17
6.6000000000,11/10/17
5.6250000000,11/10/17
4.2857142857,11/10/17
3.1428571429,11/10/17
3.1250000000,11/10/17
4.4285714286,11/10/17
9.0000000000,11/10/17
18.5714285714,11/10/17
16.6250000000,11/10/17
20.0000000000,11/10/17
18.8750000000,11/10/17
24.7142857143,11/10/17
19.3750000000,11/10/17
13.3750000000,11/10/17
5.4285714286,11/10/17
0.3750000000,11/10/17
0.0000000000,11/10/17
0.0000000000,11/10/17
0.0000000000,11/10/17
0.0000000000,11/10/17
0.0000000000,11/10/17
0.0000000000,11/10/17
0.0000000000,11/10/17
0.0000000000,11/10/17
0.0000000000,11/10/17
0.1428571429,11/10/17
0.1250000000,11/10/17
0.1250000000,11/10/17
0.1428571429,11/10/17
0.1250000000,11/10/17
0.1428571429,11/10/17
0.1250000000,11/10/17
0.1428571429,11/10/17
0.1333333333,11/10/17
0.2500000000,11/10/17
0.2857142857,11/10/17
0.2857142857,11/10/17
0.2500000000,11/10/17
0.2500000000,11/10/17
0.2857142857,11/10/17
0.6250000000,11/10/17
0.2857142857,11/10/17
0.2857142857,11/10/17
0.2500000000,11/10/17
0.3750000000,11/10/17
0.2857142857,11/10/17
0.4666666667,11/10/17
0.3333333333,11/10/17
0.2500000000,11/10/17
0.2857142857,11/10/17
0.2857142857,11/10/17
0.3750000000,11/10/17
0.2500000000,11/10/17
0.2857142857,11/10/17
0.4285714286,11/10/17
0.3750000000,11/10/17
0.4285714286,11/10/17
0.5000000000,11/10/17
0.5000000000,11/10/17
0.4285714286,11/10/17
0.5714285714,11/10/17
0.5000000000,11/10/17
0.7333333333,10/10/17
1.0000000000,10/10/17
0.5000000000,10/10/17
0.7142857143,10/10/17
0.6521739130,10/10/17
0.6000000000,10/10/17
0.7142857143,10/10/17
0.7142857143,10/10/17
0.8666666667,10/10/17
0.5000000000,10/10/17
0.7142857143,10/10/17
1.1250000000,10/10/17
0.8571428571,10/10/17
0.7500000000,10/10/17
0.8000000000,10/10/17
1.4285714286,10/10/17
1.1428571429,10/10/17
1.0000000000,10/10/17
1.1428571429,10/10/17
1.0000000000,10/10/17
1.3333333333,10/10/17
1.1333333333,10/10/17
1.8571428571,10/10/17
1.2500000000,10/10/17
2.1428571429,10/10/17
2.7142857143,10/10/17
2.1250000000,10/10/17
2.7142857143,10/10/17
3.1250000000,10/10/17
3.9565217391,10/10/17
5.0000000000,10/10/17
5.0000000000,10/10/17
14.6666666667,10/10/17
22.0000000000,10/10/17
16.5000000000,10/10/17
10.0666666667,10/10/17
0.4285714286,10/10/17
0.4666666667,10/10/17
0.5000000000,10/10/17
1.0000000000,10/10/17
0.5714285714,10/10/17
0.6875000000,10/10/17
